family,_1,_2,_3,_5,_6,Carlquist_woodiness
amborellaceae,1,0,0,0,0,1
austrobaileyaceae,1,0,0,0,0,1
trimeniaceae,1,0,0,0,0,1
schisandraceae,1,0,0,0,0,2
chloranthaceae,1,0,1,0,0,1
canellaceae,0,1,1,0,0,1
winteraceae,0,1,1,0,0,2
lactoridaceae,1,0,0,0,0,1
aristolochiaceae,0,0,1,0,0,1
piperaceae,0,0,1,0,1,1
myristicaceae,1,1,0,0,0,2
magnoliaceae,0,0,0,0,1,2
degeneriaceae,0,0,0,1,0,2
himantandraceae,0,1,1,0,0,2
annonaceae,1,1,0,0,0,2
eupomatiaceae,0,0,0,1,1,1
calycanthaceae,1,0,0,0,0,2
siparunaceae,1,0,0,0,0,2
gomortegaceae,1,0,0,0,0,2
monimiaceae,1,0,0,0,0,2
hernandiaceae,1,0,0,0,0,2
lauraceae,1,0,0,0,0,2
asparagaceae,0,0,0,0,1,1
eupteleaceae,1,0,0,0,0,3
papaveraceae,1,0,1,0,0,4
lardizabalaceae,0,0,1,0,0,4
circaeasteraceae,1,0,0,0,0,4
menispermaceae,0,0,1,0,0,4
berberidaceae,0,0,1,0,1,4
ranunculaceae,1,0,1,0,1,4
platanaceae,0,0,0,0,1,3
proteaceae,0,0,1,0,0,3
trochodendraceae,1,0,0,0,1,3
buxaceae,1,0,0,0,0,3
dilleniaceae,1,0,1,1,1,3
santalaceae,1,0,0,0,0,3
loranthaceae,1,0,0,0,0,3
olacaceae,1,0,1,0,1,3
polygonaceae,0,0,1,1,1,3
plumbaginaceae,0,0,1,0,0,3
rhabdodendraceae,0,0,0,0,1,3
asteropeiaceae,1,0,0,0,0,3
physenaceae,1,0,0,0,0,3
amaranthaceae,1,0,0,0,0,4
caryophyllaceae,1,0,0,0,0,3
barbeuiaceae,1,0,0,0,0,3
aizoaceae,1,0,0,0,0,3
gisekiaceae,1,0,0,0,0,3
phytolaccaceae,1,0,0,0,0,3
nyctaginaceae,1,0,0,0,0,3
molluginaceae,1,0,0,0,0,3
portulacaceae,1,0,0,0,0,4
cactaceae,1,0,0,0,0,4
cornaceae,0,0,1,0,0,3
grubbiaceae,0,0,1,0,0,3
balsaminaceae,1,0,0,0,0,4
marcgraviaceae,1,0,0,0,0,3
tetrameristaceae,0,0,1,0,0,3
lecythidaceae,1,0,0,0,0,3
polemoniaceae,1,0,0,0,0,3
fouquieriaceae,1,0,0,0,0,3
sapotaceae,1,0,1,0,0,3
ebenaceae,1,0,1,0,0,3
primulaceae,1,0,0,0,0,3
symplocaceae,1,0,0,0,0,3
styracaceae,1,0,0,0,0,3
diapensiaceae,1,0,0,0,0,3
actinidiaceae,1,0,1,0,0,3
clethraceae,1,0,0,0,0,3
cyrillaceae,1,0,0,0,0,3
ericaceae,1,0,1,0,0,4
theaceae,1,0,0,0,0,3
stemonuraceae,1,0,1,0,0,3
helwingiaceae,1,0,0,0,0,3
aquifoliaceae,1,0,1,0,0,3
campanulaceae,1,0,0,0,0,4
menyanthaceae,0,0,1,1,0,3
goodeniaceae,1,0,1,1,0,4
asteraceae,1,0,1,0,1,4
argophyllaceae,1,0,1,1,0,3
escallioniaceae,1,0,1,0,0,3
paracryphiaceae,0,0,1,0,0,3
adoxaceae,0,0,1,0,0,3
caprifoliaceae,1,0,1,0,0,3
pennantiaceae,0,0,1,0,0,3
griseliniaceae,0,0,1,0,0,3
pittosporaceae,1,0,1,0,0,3
araliaceae,0,0,1,1,1,3
apiaceae,0,0,1,0,1,4
oncothecaceae,0,0,0,1,0,3
garryaceae,0,0,1,0,0,3
eucommiaceae,1,0,0,0,0,3
icacinaceae,1,0,1,0,0,3
rubiaceae,1,0,1,0,0,4
gentianaceae,1,0,1,1,0,3
loganiaceae,1,0,1,0,1,3
apocynaceae,1,0,0,0,0,3
boraginaceae,1,0,0,0,0,4
convolvulaceae,1,0,0,0,0,3
solanaceae,1,0,0,0,0,3
oleaceae,1,0,0,0,0,3
gesneriaceae,1,0,1,1,0,3
plantaginaceae,1,0,1,0,1,4
scrophulariaceae,1,0,0,0,0,3
lamiaceae,1,0,0,0,0,3
orobanchaceae,1,0,0,0,0,3
verbenaceae,1,0,0,0,0,4
bignoniaceae,1,0,0,0,0,3
acanthaceae,1,0,0,0,0,3
paeoniaceae,0,0,1,1,0,3
hamamelidaceae,0,0,1,0,0,3
cercidiphyllaceae,0,0,1,0,0,3
grossulariaceae,1,0,1,0,0,3
saxifragaceae,0,0,1,0,1,3
crassulaceae,1,0,1,0,0,4
penthoraceae,1,0,0,0,0,3
vitaceae,0,0,1,1,1,3
geraniaceae,0,0,1,0,0,3
melianthaceae,0,0,0,0,1,3
combretaceae,1,0,0,0,0,3
onagraceae,1,0,0,0,0,3
lythraceae,1,0,1,0,0,3
myrtaceae,1,0,0,0,0,3
vochysiaceae,1,0,1,0,0,3
melastomataceae,1,0,0,0,0,3
crypteroniaceae,1,0,0,0,0,3
alzateaceae,0,0,1,0,0,3
penaeaceae,1,0,0,0,0,3
staphyleaceae,0,0,1,0,0,3
stachyuraceae,0,0,1,0,0,3
crossosomataceae,1,0,1,0,0,3
anacardiaceae,0,0,1,0,0,3
burseraceae,0,0,0,0,1,3
sapindaceae,0,0,1,0,0,3
meliaceae,0,0,0,1,0,3
rutaceae,1,0,1,0,0,4
simaroubaceae,0,0,1,0,1,3
tapisciaceae,0,0,1,0,0,3
