Species,stomata,ep_ab_anticlinal,lam_cutic,leaf_crystals,mid_ad_surf,mid_ab_surf,mid_ad_phloem,mid_vas_shape,mid_scler,lam_ad_shape,lam_ab_shape,ad_pal_layer,ab_pal_layer,lat_vein_bs,fol_scler,twig_cross,leaf_arr,leaf_base,leaf_ratio,leaf_text,leaf_ven_type,infl_type,hyp_shape,calyx_coher,petal_coher,anther_orien,placentation,seed_intercotyl,lamina_thickness,palisade_percent
S. francisii,1,4,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,338.5,30
S. tetrapterum,1,4,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,0,370,20
S. antisepticum,1,4,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,294,35
S. zeylanicum,1,4,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,158.5,40
S. luehmannii,1,4,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,217.5,32.5
S. cryptophlebium,1,4,0,1,2,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,325,27.5
S. wilsonii,1,4,0,1,2,0,1,0,1,1,1,1,0,0,0,0,0,2,1,1,1,0,0,0,0,0,1,0,242.5,30
S. claviflorum,1,1,0,1,0,0,1,1,1,1,1,2,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,192,30
S. apodophyllum,0,4,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,2,0,0,1,1,1,1,0,0,1,0,216.5,30
S. canicortex,3,4,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,271.5,27.5
S. gustavioides,3,0,1,1,0,0,1,1,1,0,1,2,0,0,0,0,0,0,0,1,3,0,0,1,1,0,1,0,270,47.5
S. mulgraveanum,3,3,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,162.5,25
S. unipunctatum,3,2,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,220,30
S. hedraiophyllum,3,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,2,1,1,1,0,0,0,1,0,0,1,157,40
S. divaricatum,3,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,205,17.5
S. graveolens,3,2,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,1,231,25
S. mackinnonianum,3,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,155,27.5
S. acuminatissimum,3,4,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,251,35
S. smithii,3,3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,230,17.5
S. malaccense,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,155,30
S. hemisphericum,0,4,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,120.5,30
S. jambos,0,4,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,236.5,17.5
S. aromaticum,0,4,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,262.5,10
S. campanulatum,0,1,0,2,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,250,30
S. nervosum,0,3,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,1,0,0,4,0,0,1,1,0,1,0,224,20
S. aqueum,0,4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,1,0,215,25
S. diospyrifolium,0,4,0,0,0,0,0,3,1,0,1,2,0,0,0,1,1,2,1,0,2,1,0,0,0,0,1,0,253.5,30
S. grande,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,387,37.5
S. cumini,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,175.5,22.5
S. nigrans,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,192,27.5
S. hancei,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,363.5,35
S. ripicola,0,3,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,198.5,40
S. thorelii,0,4,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,224.5,40
