Mainland Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calibrated radiocarbon,--/-15/--,--/421/--,--/875/--,--/1330/--,--/1784/--,--/2238/--,--/2692/--,--/3146/--,--/3601/--,--/4055/--,--/4509/--,--/4963/--,--/5390/--,--/5890/--,--/6326/--,--/6798/--,--/7216/--,--/7689/--,--/8143/--,--/8597/--,--/9051/--,--/9542/--,--/9787/--,--/10232/--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diogo,219,,5,15,4,6,2,85,44,79,85,44,111,78,10,81,106,12,11,34,4,38,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calibrated radiocarbon,1053/780/430,1112/869/577,1211/1027/876,1344/1142/972,1562/1266/1037,1754/1396/1113,1908/1513/1191,2061/1639/1276,2209/1766/1374,2362/1896/1483,2501/2014/1573,2762/2260/1775,2890/2392/1897,2966/2455/1948,3015/2511/2009,3149/2643/2133,3262/2762/2249,3384/2893/2382,3494/3012/2508,3612/3138/2653,3730/3243/2742,3874/3355/2837,3992/3455/2919,4132/3567/3019,4251/3668/3099,4381/3780/3195,4502/3882/3284,4627/3988/3368,4757/4098/3464,4866/4196/3549,4986/4307/3648,5104/4409/3742,5237/4522/3841,5349/4622/3929,5412/4695/4000,6105/5020/4184,6594/5429/4457,7299/5960/4812,7956/6512/5231,8502/7011/5626,9036/7563/6125,9495/8056/6592,10020/8600/7138,10491/9040/7523,11023/9429/7815,11544/9813/8125,12035/10203/8453,12496/10590/8780,12991/10980/9107,13449/11375/9451,13902/11770/9751,14385/12161/10103,14819/12553/10440,15254/12944/10769,15723/13355/11145,16168/13747/11489,16585/14138/11824,17021/14504/12169,17531/14922/12530,18027/15308/12840,18489/15725/13176,18717/15904/13292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diogo 2,17,18,6,14,5,4,16,20,16,9,8,90,42,73,61,92,116,77,147,90,144,73,101,79,69,71,97,71,71,9,22,17,22,31,51,68,12,14,17,23,20,26,5,24,8,3,,,,,,2,,5,,,,1,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calibrated radiocarbon,-0.055555556,426/192/32,863/489/170,1216/728/328,1748/1123/590,2224/1515/896,2451/1703/1049,2682/1909/1206,3100/2305/1562,3562/2706/1906,3964/3098/2269,4371/3497/2643,4736/3890/3018,5136/4291/3411,5493/4688/3819,5854/5078/4215,6200/5476/4655,6534/5873/5082,6853/6272/5567,7156/6668/6056,7401/7056/6593,7869/7443/7020,8428/7823/7295,8957/8196/7557,9434/8576/7844,9913/8955/8130,10376/9333/8429,10597/9513/8577,10862/9740/8750,11284/10087/9049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Guiers 2,,,,,1,,,8,19,31,17,28,15,21,31,32,32,32,15,6,16,6,3,12,10,2,3,5,17,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calibrated radiocarbon,988/331/7,3068/1894/919,3863/2625/1495,4655/3393/2151,6115/4977/3705,6769/5792/4650,7314/6552/5560,8002/7374/6672,9357/8193/7227,10277/8857/7703,11311/9612/8256,13219/11154/9433,14995/12628/10582,15963/13416/11234,16846/14149/11813,17707/14911/12465,18584/15676/13086,20650/17433/14610,22077/18712/15731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Guiers 3,,,1,2,,3,4,2,,6,5,2,2,3,1,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Central Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calibrated radiocarbon,3179/2915/2567,3199/2957/2629,3231/3010/2701,3298/3138/2918,3358/3270/3157,3498/3337/3198,4212/3989/3706,4450/4267/4060,4867/4600/4362,5270/5057/4848,5738/5647/5531,5848/5736/5632,6475/6245/6029,6744/6495/6246,6988/6753/6525,7194/6992/6817,7612/7373/7147,7771/7520/7302,7827/7567/7347,8335/7910/7573,8519/8033/7658,8715/8184/7769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Songolo,4,4,4,11,1,3,7,,3,1,6,13,11,17,11,40,37,12,11,8,11,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calibrated radiocarbon,-0.016666667,647/192/-32,2454/1160/294,3867/2152/897,4319/2503/1137,4877/3021/1487,5674/3751/2030,6386/4378/2541,6983/4999/3125,7645/5620/3679,8241/6249/4259,8966/6994/4987,9536/7618/5634,9997/8113/6131,10684/8851/6790,11267/9590/7664,11655/10080/8196,12263/10818/9012,12668/11430/9797,12914/11789/10199,13111/12152/10744,14371/13385/12118,15477/13983/12528,16059/14383/12814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bois de Bilanko LS3,241,182,536,290,555,1113,568,996,612,473,1138,546,427,1754,1346,1106,1158,303,326,800,2132,279,424,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calibrated radiocarbon,1387/1034/663,1797/1473/1164,1871/1551/1233,2288/2008/1704,2639/2306/1974,3085/2673/2279,3497/3040/2600,3880/3405/2930,4404/3921/3424,4480/3996/3498,4840/4362/3863,5398/4957/4471,5467/5031/4550,5622/5175/4681,5884/5387/4861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
