Species,Adaxial_midrib,Abaxial_midrib,Vascular_shape,Lam_adaxial_epidermal,Lam_abaxial_epidermis
V_lobophyllum,2,0,0,1,1
V_lantanoides,2,0,0,1,1
V_wrightii,2,0,0,1,1
V_sargentii,2,0,0,0,1
V_sieboldii,2,1,0,2,1
V_taiwanianum,0,0,0,0,1
V_furcatum,2,0,0,1,1
V_luzonicum,0,0,0,1,1
V_davidii,2,0,0,1,1
V_hartwegii,2,0,3,0,1
V_vernicosum,2,0,0,0,1
V_lentago,2,0,0,1,1
V_hispidulum,2,0,0,1,1
V_inopinatum,2,0,0,1,1
V_taitoense,2,0,3,1,1
V_setigerum,2,1,0,1,1
V_carlesii,2,1,0,1,1
V_loeseneri,2,0,0,1,1
V_elatum,2,0,0,1,1
V_burejaeticum,2,0,0,1,1
V_tashiroi,1,0,0,1,1
V_prunifolium,2,0,0,1,1
V_rufidulum,2,0,0,1,1
V_parvifolium,2,0,0,1,1
V_cylindricum,2,0,0,1,1
V_farreri,2,0,0,1,1
V_rafinesquianum,2,0,0,1,1
V_acerifolium,2,0,0,1,1
V_lautum,2,0,0,1,1
V_bitchiuense,2,0,0,1,1
V_propinquum,2,0,0,1,1
V_acutifolium,2,0,0,1,1
V_utile,2,0,0,1,1
V_cotinifolium,2,0,0,1,1
V_opulus,2,0,0,1,1
V_veitchii,2,0,0,1,1
V_amplificatum,2,0,3,0,1
V_erubescens,2,0,0,1,1
V_clemensiae,2,0,0,1,1
V_foetidum,2,0,0,1,1
V_beccarii,2,0,0,1,1
V_costaricanum,2,0,0,1,1
V_odoratissimum,2,0,3,0,1
V_stellato_tomentosum,2,0,0,2,1
V_dilatatum,2,0,0,1,1
V_erosum,2,0,0,1,1
V_tinus,2,0,0,1,1
V_dentatum,2,0,0,1,1
V_sambucinum,2,0,0,1,1
V_awabuki,2,0,0,1,1
V_integrifolium,2,0,0,1,1
V_discolor,2,0,0,0,1
V_foetens,2,0,0,1,1
V_ichangense,2,0,0,1,1
V_macrocephalum,2,0,0,1,1
V_sympodiale,2,0,0,1,1
V_mullaha,2,0,0,1,1
V_formosanum,2,0,0,1,1
V_stenocalyx,0,0,0,1,1
V_betulifolium,2,0,0,1,1
V_henryi,2,0,0,1,1
V_rhytidophyllum,1,0,0,1,0
V_coriaceum,0,0,2,1,1
V_molle,2,1,0,1,1
V_trilobum,2,0,0,1,1
V_hupehense,2,0,0,1,1
V_cassinoides,2,0,0,1,1
V_suspensum,2,0,0,1,1
V_punctatum,2,0,0,1,1
V_grandiflorum,2,0,0,1,1
V_disjunctum,2,0,0,1,1
V_plicatum,0,0,0,0,1
V_corylifolium,2,0,0,1,1
V_japonicum,2,0,3,0,1
V_lantana,0,0,0,1,1
V_lutescens,2,0,0,1,1
V_cinnamomifolium,2,0,0,1,1
