Species,Adaxial_midrib,Abaxial_midrib,Vascular_shape,Lamina_adaxial_epidermal,Lamina_abaxial_epidermis,H_I,Palisade_layer
V_lobophyllum,2,0,0,1,1,1,0
V_lantanoides,2,0,0,1,1,1,0
V_hallii,2,0,0,1,1,1,1
V_wrightii,2,0,0,1,1,1,0
V_melanocarpum,2,0,0,1,1,2,2
V_flavescens,2,0,0,1,1,1,0
V_sargentii,2,0,0,0,1,1,0
V_glomeratum,2,0,0,1,1,2,2
V_sieboldii,2,1,0,2,1,1,1
V_anamensis,2,1,0,1,0,1,0
V_taiwanianum,0,0,0,0,1,1,0
V_furcatum,2,0,0,1,1,1,0
V_luzonicum,0,0,0,1,1,1,0
V_undulatum,2,0,0,1,1,2,3
V_davidii,2,0,0,1,1,2,3
V_hartwegii,2,0,3,0,1,1,1
V_phlebotrichum,2,0,0,1,1,2,2
V_leiocarpum,2,0,0,1,1,1,0
V_recognitum,2,0,0,1,1,1,0
V_vernicosum,2,0,0,0,1,1,0
V_urceolatum,1,1,0,1,1,2,2
V_lentago,2,0,0,1,1,2,2
V_hispidulum,2,0,0,1,1,1,0
V_inopinatum,2,0,0,1,1,1,0
V_taitoense,2,0,3,1,1,1,1
V_setigerum,2,1,0,1,1,1,0
V_carlesii,2,1,0,1,1,2,2
V_loeseneri,2,0,0,1,1,1,1
V_elatum,2,0,0,1,1,2,2
V_burejaeticum,2,0,0,1,1,2,2
V_hanceanum,2,0,0,1,1,2,3
V_tashiroi,1,0,0,1,1,1,0
V_prunifolium,2,0,0,1,1,2,2
V_chinshanense,2,0,0,1,1,2,2
V_rufidulum,2,0,0,1,1,1,1
V_pyramidatum,2,0,0,1,1,1,0
V_parvifolium,2,0,0,1,1,1,0
V_sempervirens,2,0,0,1,1,2,2
V_cylindricum,2,0,0,1,1,1,0
V_farreri,2,0,0,1,1,1,1
V_rafinesquianum,2,0,0,1,1,1,0
V_acerifolium,2,0,0,1,1,1,0
V_lautum,2,0,0,1,1,1,1
V_amplifolium,2,0,3,0,1,1,0
V_bitchiuense,2,0,0,1,1,2,2
V_propinquum,2,0,0,1,1,2,3
V_acutifolium,2,0,0,1,1,1,1
V_utile,2,0,0,1,1,2,2
V_cotinifolium,2,0,0,1,1,2,2
V_opulus,2,0,0,1,1,1,0
V_tinoides,0,0,0,0,1,2,2
V_veitchii,2,0,0,1,1,2,2
V_mongolicum,2,0,0,1,1,2,2
V_amplificatum,2,0,3,0,1,1,0
V_erubescens,2,0,0,1,1,1,1
V_nervosum,2,0,0,1,1,1,1
V_clemensiae,2,0,0,1,1,2,2
V_foetidum,2,0,0,1,1,1,1
V_jucundum,2,0,2,0,1,1,0
V_beccarii,2,0,0,1,1,1,1
V_lasiophyllum,2,0,0,1,1,1,0
V_costaricanum,2,0,0,1,1,1,1
V_odoratissimum,2,0,3,0,1,1,1
V_stellato_tomentosum,2,0,0,2,1,1,1
V_dilatatum,2,0,0,1,1,1,0
V_erosum,2,0,0,1,1,1,0
V_tinus,2,0,0,1,1,2,2
V_congestum,2,0,0,1,1,2,2
V_dentatum,2,0,0,1,1,1,0
V_chingii,2,0,0,1,1,1,1
V_sambucinum,2,0,0,1,1,1,0
V_glaberimum,2,0,0,1,1,1,1
V_glaberatum,2,0,0,1,1,1,0
V_awabuki,2,0,0,1,1,1,1
V_integrifolium,2,0,0,1,1,1,0
V_discolor,2,0,0,0,1,1,1
V_subsessile,2,0,3,0,1,1,1
V_foetens,2,0,0,1,1,1,1
V_ichangense,2,0,0,1,1,1,0
V_subalpinum,2,0,0,1,1,1,1
V_macrocephalum,2,0,0,1,1,2,2
V_schensianum,2,0,0,1,1,1,0
V_ternatum,2,0,0,1,1,1,1
V_sympodiale,2,0,0,1,1,1,0
V_mullaha,2,0,0,1,1,1,1
V_brachyandrum,2,0,0,1,1,1,0
V_formosanum,2,0,0,1,1,1,0
V_stenocalyx,0,0,0,1,1,1,1
V_betulifolium,2,0,0,1,1,1,0
V_atrocyaenum,2,0,0,0,1,1,1
V_fordiae,2,0,0,1,1,1,0
V_henryi,2,0,0,1,1,1,1
V_rhytidophyllum,1,0,0,1,0,2,2
V_coriaceum,0,0,2,1,1,1,0
V_molle,2,1,0,1,1,1,0
V_trilobum,2,0,0,1,1,1,0
V_hupehense,2,0,0,1,1,1,1
V_pichinchense,0,0,2,2,1,2,2
V_brachybotrium,2,0,0,1,1,1,1
V_cassinoides,2,0,0,1,1,2,2
V_buddleifolium,2,0,0,1,1,2,2
V_suspensum,2,0,0,1,1,1,1
V_anabaptista,1,0,0,2,2,1,1
V_punctatum,2,0,0,1,1,2,2
V_triphyllum,2,0,2,0,1,2,3
V_grandiflorum,2,0,0,1,1,1,1
V_disjunctum,2,0,0,1,1,1,1
V_plicatum,0,0,0,0,1,1,1
V_corylifolium,2,0,0,1,1,1,0
V_japonicum,2,0,3,0,1,1,1
V_lantana,0,0,0,1,1,2,2
V_lutescens,2,0,0,1,1,1,1
V_cinnamomifolium,2,0,0,1,1,2,3
